+------------+--------------+----------------------+
| nconst     | first_name   | last_name            |
+------------+--------------+----------------------+
| nm0809268  | Marvin       | 'Smitty' Smith       |
| nm1568764  | Jason        | Aaron Baca           |
| nm0004979  | David        | Alan Grier           |
| nm0017651  | Tom          | Aldredge             |
| nm0018635  | Millette     | Alexander            |
| nm0018635  | Millette     | Alexander            |
| nm0000261  | Karen        | Allen                |
| nm0022743  | Julie        | Alter                |
| nm0025852  | Ronni        | Ancona               |
| nm4364362  | Rodrig       | Andrisan             |
| nm0000098  | Jennifer     | Aniston              |
| nm0034513  | Allison      | Argo                 |
| nm1357069  | Nicholas     | Art                  |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
| nm0039162  | Shawn        | Ashmore              |
